Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1992-06-01 00:00;1992-07-01 00:00;jun-92;18.1;Y
1992-07-01 00:00;1992-08-01 00:00;jul-92;17.9;Y
1992-08-01 00:00;1992-09-01 00:00;aug-92;16.5;Y
1992-09-01 00:00;1992-10-01 00:00;sep-92;12.2;Y
1992-10-01 00:00;1992-11-01 00:00;okt-92;4.3;Y
1992-11-01 00:00;1992-12-01 00:00;nov-92;2.6;Y
1992-12-01 00:00;1993-01-01 00:00;dec-92;1.6;Y
1993-01-01 00:00;1993-02-01 00:00;jan-93;0.5;Y
1993-02-01 00:00;1993-03-01 00:00;feb-93;-0.0;Y
1993-03-01 00:00;1993-04-01 00:00;mar-93;1.9;Y
1993-04-01 00:00;1993-05-01 00:00;apr-93;6.0;Y
1993-05-01 00:00;1993-06-01 00:00;maj-93;13.9;Y
1993-06-01 00:00;1993-07-01 00:00;jun-93;13.3;Y
1993-07-01 00:00;1993-08-01 00:00;jul-93;16.7;Y
1993-08-01 00:00;1993-09-01 00:00;aug-93;14.4;Y
1993-09-01 00:00;1993-10-01 00:00;sep-93;9.5;Y
1993-10-01 00:00;1993-11-01 00:00;okt-93;6.5;Y
1993-11-01 00:00;1993-12-01 00:00;nov-93;1.4;Y
1993-12-01 00:00;1994-01-01 00:00;dec-93;0.2;Y
1994-01-01 00:00;1994-02-01 00:00;jan-94;-1.4;Y
1994-02-01 00:00;1994-03-01 00:00;feb-94;-6.1;Y
1994-03-01 00:00;1994-04-01 00:00;mar-94;0.8;Y
1994-04-01 00:00;1994-05-01 00:00;apr-94;6.8;Y
1994-05-01 00:00;1994-06-01 00:00;maj-94;9.9;Y
1994-06-01 00:00;1994-07-01 00:00;jun-94;14.3;Y
1994-07-01 00:00;1994-08-01 00:00;jul-94;21.5;Y
1994-08-01 00:00;1994-09-01 00:00;aug-94;17.3;Y
1994-09-01 00:00;1994-10-01 00:00;sep-94;12.2;Y
1994-10-01 00:00;1994-11-01 00:00;okt-94;6.5;Y
1994-11-01 00:00;1994-12-01 00:00;nov-94;3.4;Y
1994-12-01 00:00;1995-01-01 00:00;dec-94;2.4;Y
1995-01-01 00:00;1995-02-01 00:00;jan-95;-1.8;Y
1995-02-01 00:00;1995-03-01 00:00;feb-95;1.0;Y
1995-03-01 00:00;1995-04-01 00:00;mar-95;2.2;Y
1995-04-01 00:00;1995-05-01 00:00;apr-95;4.2;Y
1995-05-01 00:00;1995-06-01 00:00;maj-95;9.4;Y
1995-06-01 00:00;1995-07-01 00:00;jun-95;16.1;Y
1995-07-01 00:00;1995-08-01 00:00;jul-95;18.0;Y
1995-08-01 00:00;1995-09-01 00:00;aug-95;18.4;Y
1995-09-01 00:00;1995-10-01 00:00;sep-95;12.5;Y
1995-10-01 00:00;1995-11-01 00:00;okt-95;9.7;Y
1995-11-01 00:00;1995-12-01 00:00;nov-95;0.4;Y
1995-12-01 00:00;1996-01-01 00:00;dec-95;-4.2;Y
1996-01-01 00:00;1996-02-01 00:00;jan-96;-3.2;Y
1996-02-01 00:00;1996-03-01 00:00;feb-96;-6.1;Y
1996-03-01 00:00;1996-04-01 00:00;mar-96;-0.6;Y
1996-04-01 00:00;1996-05-01 00:00;apr-96;6.5;Y
1996-05-01 00:00;1996-06-01 00:00;maj-96;8.9;Y
1996-06-01 00:00;1996-07-01 00:00;jun-96;15.2;Y
1996-07-01 00:00;1996-08-01 00:00;jul-96;16.1;Y
1996-08-01 00:00;1996-09-01 00:00;aug-96;19.8;Y
1996-09-01 00:00;1996-10-01 00:00;sep-96;10.9;Y
1996-10-01 00:00;1996-11-01 00:00;okt-96;8.6;Y
1996-11-01 00:00;1996-12-01 00:00;nov-96;3.6;Y
1996-12-01 00:00;1997-01-01 00:00;dec-96;-2.6;Y
1997-01-01 00:00;1997-02-01 00:00;jan-97;-1.5;Y
1997-02-01 00:00;1997-03-01 00:00;feb-97;0.4;Y
1997-03-01 00:00;1997-04-01 00:00;mar-97;2.5;Y
1997-04-01 00:00;1997-05-01 00:00;apr-97;4.0;Y
1997-05-01 00:00;1997-06-01 00:00;maj-97;9.5;Y
1997-06-01 00:00;1997-07-01 00:00;jun-97;16.2;Y
1997-07-01 00:00;1997-08-01 00:00;jul-97;19.6;Y
1997-08-01 00:00;1997-09-01 00:00;aug-97;21.3;Y
1997-09-01 00:00;1997-10-01 00:00;sep-97;13.1;Y
1997-10-01 00:00;1997-11-01 00:00;okt-97;5.1;Y
1997-11-01 00:00;1997-12-01 00:00;nov-97;2.6;Y
1997-12-01 00:00;1998-01-01 00:00;dec-97;0.1;Y
1998-01-01 00:00;1998-02-01 00:00;jan-98;0.4;Y
1998-02-01 00:00;1998-03-01 00:00;feb-98;1.7;Y
1998-03-01 00:00;1998-04-01 00:00;mar-98;0.4;Y
1998-04-01 00:00;1998-05-01 00:00;apr-98;4.0;Y
1998-05-01 00:00;1998-06-01 00:00;maj-98;11.0;Y
1998-06-01 00:00;1998-07-01 00:00;jun-98;13.5;Y
1998-07-01 00:00;1998-08-01 00:00;jul-98;16.5;Y
