Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1978-01-01 00:00;1978-02-01 00:00;jan-78;-10.9;Y
1978-02-01 00:00;1978-03-01 00:00;feb-78;-14.5;Y
1978-03-01 00:00;1978-04-01 00:00;mar-78;-5.7;Y
1978-04-01 00:00;1978-05-01 00:00;apr-78;-1.1;Y
1978-05-01 00:00;1978-06-01 00:00;maj-78;7.5;Y
1978-06-01 00:00;1978-07-01 00:00;jun-78;12.8;Y
1978-07-01 00:00;1978-08-01 00:00;jul-78;15.0;Y
1978-08-01 00:00;1978-09-01 00:00;aug-78;12.9;Y
1978-09-01 00:00;1978-10-01 00:00;sep-78;7.8;Y
1978-10-01 00:00;1978-11-01 00:00;okt-78;2.2;Y
1978-11-01 00:00;1978-12-01 00:00;nov-78;-3.6;Y
1978-12-01 00:00;1979-01-01 00:00;dec-78;-17.1;Y
